"","solID","MAPE","rsq_train","nrmse","decomp.rssd"
"1","1_141_9",0.0498652353552583,0.951839043009589,0.048987212573221,0.377391285859103
"2","1_143_2",0.0496593557078238,0.952176495044169,0.0488152901867383,0.459261289661124
"3","1_173_4",0.0504147281851224,0.951682664590042,0.0490666787528433,0.347085660002414
"4","1_185_4",0.0500673623676391,0.951951837591844,0.0489298140959092,0.389539294935857
"5","1_185_7",0.0498448090705644,0.951888359839316,0.0489621246912712,0.398045209237031
"6","1_192_3",0.0500490252520933,0.952233539831083,0.0487861675960449,0.546127098185901
"7","1_195_6",0.049691232073956,0.952329687488935,0.0487370427651313,0.439862078906733
"8","1_198_7",0.0499489340945833,0.951936890264472,0.0489374243045124,0.388209761651749
"9","1_199_1",0.0511867382683911,0.951184665095767,0.0493188919695105,0.319270385396331
"10","1_202_3",0.0496594946728341,0.952239173380008,0.0487832906048974,0.438396207033395
"11","1_203_3",0.0517124763592719,0.951944220134349,0.0489336925585704,0.424279319769353
"12","1_203_8",0.0503763742741204,0.95141124708508,0.0492042991872918,0.346584463964387
"13","1_204_1",0.0496090431166237,0.951617565953061,0.0490997217457573,0.34719194873416
"14","1_205_7",0.0509989261521723,0.951225562914184,0.0492982277894866,0.313562642978796
"15","1_205_9",0.0499677512374753,0.951584979264478,0.0491162538617555,0.346957445073238
"16","1_208_9",0.0501249805298564,0.952115527634826,0.0488463961654645,0.435910439452229
"17","1_209_1",0.0511997326684635,0.951186345518483,0.0493180430836043,0.287703708419683
"18","1_210_5",0.0501764300435671,0.951733674848846,0.0490407712301109,0.356646184643471
"19","1_212_4",0.0512495355240335,0.951158728491531,0.049331992306918,0.293301665588034
"20","1_217_5",0.0496499796911124,0.952108142586876,0.0488501627212233,0.42643557580718
"21","1_222_2",0.0497009810323127,0.951977023366042,0.0489169884567943,0.401151273387886
"22","1_222_3",0.0493519445285715,0.95241512133195,0.0486933503716613,0.491246814099729
"23","1_222_4",0.0490479044255168,0.952293945165093,0.0487553104108733,0.452911902474645
"24","1_222_6",0.050268043194946,0.951074431456503,0.0493745459480852,0.315256669119205
"25","1_223_8",0.0509105978657746,0.951759734888869,0.049027530352447,0.345852419532009
"26","2_221_1",0.0732134367688023,0.934873433748315,0.0571480994450061,0.189512990851524
"27","3_121_9",0.0488869430981776,0.952271688338727,0.0487666822581803,0.585135150042919
"28","3_125_3",0.0488663884527374,0.952420301308021,0.048690699978706,0.588650631749611
"29","3_135_3",0.0487656061394079,0.952299651132707,0.0487523945908353,0.585115904773909
"30","3_144_9",0.0505157696291942,0.952413178196024,0.0486943445617825,0.622178713740936
"31","3_152_9",0.0497664442715575,0.952401698246491,0.0487002177729661,0.624925842974497
"32","3_158_3",0.0491422335164859,0.952330946328828,0.0487363992562522,0.616306450918109
"33","3_176_1",0.0503190250924307,0.952391574219934,0.0487053966981121,0.610575994344477
"34","3_189_6",0.0491521910727133,0.952326353215452,0.0487387471779971,0.43863282482048
"35","3_192_9",0.0499910686221246,0.952347449920491,0.048727961966236,0.442220103488154
"36","3_212_4",0.0487106888851729,0.952118990800919,0.0488446297656973,0.406715452409979
"37","3_214_6",0.0488376142368504,0.951816515436852,0.0489986682630997,0.39008284531772
"38","3_218_3",0.0496647640848073,0.952214807739647,0.0487957326482911,0.437972425003323
"39","3_218_8",0.0501152408500661,0.952177323677013,0.0488148672762047,0.42589414115279
"40","3_220_2",0.0492756943822259,0.951905695408073,0.0489533028890152,0.400831494916968
"41","3_222_2",0.0495219386552498,0.95224148082053,0.0487821121715548,0.418218512264449
"42","4_145_2",0.0768055623118946,0.931731147193784,0.0585105261963503,0.182549926735699
"43","4_148_5",0.0768145502571985,0.931819859779041,0.058472497819013,0.186219022508851
"44","4_150_6",0.073446184684227,0.935522408925784,0.0568626509982267,0.171563513647491
"45","4_176_2",0.0508880327547943,0.949880970184289,0.0499731242808214,0.262545053866898
"46","4_178_7",0.0554463377731002,0.946958292032632,0.0514095644350535,0.210508742364395
"47","4_182_1",0.0556519974700308,0.946838760940315,0.0514674583407561,0.209826016677611
"48","4_182_2",0.0520150199610628,0.949855701575009,0.0499857202172924,0.257719137812313
"49","4_184_9",0.0519556014449058,0.949042614826465,0.0503893483018498,0.218143032814336
"50","4_187_9",0.059649284481012,0.943585388820177,0.0530189318474367,0.18970289902363
"51","4_190_5",0.0580367460237374,0.944891319805156,0.052401676220172,0.190503501630444
"52","4_191_1",0.051806133635449,0.950207619782785,0.0498100087396304,0.24482180705142
"53","4_191_6",0.0521303860528108,0.948475600560185,0.0506689195366013,0.217686048018287
"54","4_194_2",0.0556511057767902,0.946266800593428,0.0517435861177031,0.208756316265672
"55","4_194_4",0.051439623300185,0.950737018376482,0.0495445081340426,0.269132679668089
"56","4_194_8",0.0519450714150712,0.949803936227182,0.0500115143835777,0.24618348758261
"57","4_195_1",0.0524703634767881,0.950182650222418,0.0498224963745741,0.267042518566609
"58","4_196_8",0.0592484376919324,0.943772737410147,0.0529308227358246,0.188151035622101
"59","4_197_5",0.0556872419505305,0.94637438577298,0.0516917593852944,0.205802627217533
"60","4_198_2",0.0519163816507145,0.949776701416889,0.050025079883564,0.234271670932824
"61","4_198_3",0.0513222809531398,0.949158028600391,0.0503322523428324,0.222172944321702
"62","4_200_2",0.0706550025277508,0.937106283535598,0.0561599006138609,0.175065131158103
"63","4_201_5",0.0540222807269306,0.947077090614686,0.0513519606442311,0.206851044068031
"64","4_201_6",0.0519568067219064,0.949043436586814,0.0503889420002385,0.218176702114915
"65","4_202_3",0.0538213283945323,0.946659939734743,0.0515539475437092,0.20611561616356
"66","4_204_8",0.0519097465040642,0.949716211010442,0.0500551966509448,0.23565278401847
"67","4_204_9",0.0519832682305779,0.949008975587169,0.0504059776842836,0.217529693459083
"68","4_205_8",0.0519146543702888,0.948349777121806,0.0507307489836143,0.213825560620472
"69","4_208_1",0.0524475111453351,0.948815258550693,0.0505016341294272,0.222119752867452
"70","4_208_2",0.0581884576909582,0.944676039810235,0.0525039290484441,0.188614689649155
"71","4_208_7",0.0554949258067542,0.946950202956069,0.0514134843696203,0.202287630478709
"72","4_209_6",0.0520142368267184,0.949992055780815,0.0499177124564456,0.257336435400238
"73","4_210_2",0.0706432080348174,0.937096386391354,0.0561643191854097,0.177400829401177
"74","4_210_5",0.0582196997904832,0.944929982326036,0.0523832913091226,0.196846535434328
"75","4_211_1",0.0522371703693389,0.947808569535944,0.0509958428804553,0.211003063816761
"76","4_211_5",0.0579389277132548,0.945029350015419,0.0523360100750342,0.190234910277852
"77","4_211_6",0.0520595154578124,0.948867682861829,0.0504757651735594,0.216732955519186
"78","4_212_1",0.0564007638443625,0.945859090420774,0.0519395219602162,0.200681591164652
"79","4_212_3",0.0526358356744243,0.947504256019626,0.0511442979861135,0.210267974401801
"80","4_212_5",0.0518274214805133,0.948333692006471,0.0507386477532766,0.212397903672997
"81","4_213_5",0.0706417014280348,0.937116703683567,0.0561552481720289,0.17591651655793
"82","4_213_7",0.0498766039744095,0.951369235637247,0.0492255664259765,0.327463732621538
"83","4_213_8",0.0585392880597568,0.944382994604317,0.0526427992946317,0.189650442699462
"84","4_214_7",0.05845988102175,0.94519873156377,0.0522553161617729,0.192748236267525
"85","4_214_9",0.0519894325929342,0.948948042829992,0.0504360855143492,0.219241359709061
"86","4_215_4",0.0561116823209604,0.946189872758956,0.0517806125594482,0.197889864833282
"87","4_215_6",0.0521993450069704,0.948514364870062,0.0506498556048619,0.212663524294799
"88","4_215_8",0.055701415315511,0.947353757133594,0.0512175577447151,0.214327411187376
"89","4_216_3",0.0520850429044815,0.949831093328677,0.0499979839250234,0.232909217890919
"90","4_216_5",0.0517577624881642,0.948939986353904,0.0504400650002474,0.232573589293839
"91","4_216_6",0.0586984329271391,0.945023126871204,0.0523389724315015,0.197007332294299
"92","4_217_3",0.0728810647025676,0.935656004998012,0.056803711405465,0.167288062249466
"93","4_217_8",0.0533141143638398,0.948406709576764,0.0507027818010913,0.217579388837275
"94","4_218_7",0.0561116823209604,0.946189872758956,0.0517806125594482,0.197889864833282
"95","4_219_5",0.0515873419491861,0.949081037252718,0.0503703476593846,0.230216778334208
"96","4_219_6",0.0535041703896761,0.949158051764345,0.05033224087697,0.232735396750501
"97","4_219_7",0.0541709093545196,0.948516311235506,0.0506488982110166,0.217162805408157
"98","4_219_9",0.0562330917424702,0.945823064581775,0.0519567995946476,0.19711523351743
"99","4_220_3",0.0525474090648454,0.948277455763144,0.0507662535087587,0.216472986752042
"100","4_220_5",0.05813660593277,0.945073114411648,0.0523151725012989,0.188823423483298
"101","4_220_6",0.0595237142347244,0.944239986187842,0.0527104362528805,0.188363562553397
"102","4_220_9",0.0503689134785065,0.951027855160747,0.049398042214649,0.249789995102693
"103","4_221_4",0.0592780302737503,0.944078190451208,0.0527868543318721,0.186729286007697
"104","4_221_6",0.0520115884067883,0.94901505485167,0.050402972837762,0.221968237707582
"105","4_222_1",0.0519491517221983,0.949656904993557,0.0500847061569865,0.231133786130006
"106","4_222_3",0.0540802679212825,0.948102698545154,0.0508519442664011,0.210220732481998
"107","4_222_9",0.0520321909030386,0.949964284766669,0.0499315709854693,0.255255136659863
"108","4_223_3",0.0563406423919951,0.945847557446678,0.0519450536853856,0.194620774412442
"109","4_223_5",0.0779811503352813,0.930267783755908,0.0591342966257211,0.170017501385231
"110","4_223_7",0.0501501541983346,0.950914234489618,0.0494553134145952,0.292686553639712
"111","4_223_8",0.0581375820031837,0.945073260688623,0.0523151028404198,0.188840777327689
"112","4_223_9",0.0703376897315625,0.93725008290589,0.0560956622434814,0.178379047106435
"113","5_169_9",0.0494846478631122,0.951378866779388,0.0492206917143704,0.319330306201465
"114","5_186_1",0.0504335432534483,0.951007693872735,0.0494082094809338,0.30768297588755
"115","5_186_6",0.0496738577689469,0.950928751889973,0.0494479995256267,0.28496791466282
"116","5_189_9",0.0494846478631122,0.951378866779388,0.0492206917143704,0.319330306201465
"117","5_199_2",0.0496245281837243,0.951201087472604,0.0493105953803212,0.298080252802898
"118","5_209_2",0.048955853756613,0.951835156718563,0.0489891890157179,0.348531458564154
"119","5_210_4",0.050587371853846,0.949888420476174,0.0499694098414057,0.267733041871838
"120","5_211_2",0.0541545395023736,0.946501140137572,0.0516306315771541,0.209323160226129
"121","5_211_9",0.0512904065043194,0.950098936974428,0.0498643397516882,0.264141378504426
"122","5_213_5",0.0488670133517776,0.951839418958219,0.0489870213736213,0.373848285964177
"123","5_217_4",0.0512679697057588,0.9507526664407,0.0495366387644422,0.289147042887038
"124","5_219_2",0.0488639808565659,0.951810952067149,0.049001496927742,0.357299826181343
"125","5_220_2",0.0488800279659355,0.951978281370913,0.0489163477404429,0.374766103343415
"126","5_220_7",0.0512703893589389,0.950563844006615,0.0496315137489263,0.273635002663814
"127","5_222_5",0.0488623120731496,0.951828201155097,0.0489927261923081,0.357136665842433
"128","5_222_9",0.0488377474163547,0.951225954093247,0.0492980300991149,0.30506543432165
"129","5_223_2",0.0496278996992136,0.950593660070853,0.0496165445470596,0.284722860803745
"130","5_223_9",0.0493405573055283,0.952185035514644,0.0488109311988335,0.519104765502152
